,Price(last excuted),Buy executed,Buy Wt Price,Sell executed,Sell Wt Price,Total executed,Total Wt Price,Strength,Open,High,Low
09:00:27,-5.158730158730165,-8.298596839857796,-5.158730158730165,-11.623632860554386,-5.555555555555557,-8.263257473412486,-5.172508818342152,27.8,-5.555555555555557,-5.158730158730165,-5.555555555555557
09:00:28,-4.761904761904773,-9.45539582009142,-5.150949268596335,-12.04348670611465,-5.555555555555557,-9.382923171278428,-5.179234814493185,13.304347826086957,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:29,-4.761904761904773,0,-5.150949268596335,0,-5.555555555555557,0,-5.179234814493185,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:30,-4.761904761904773,-6.8058890746018195,-4.761904761904773,0,-5.555555555555557,-6.8058890746018195,-4.761904761904773,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:31,-4.761904761904773,0,-4.761904761904773,-9.681812696750598,-4.761904761904773,-9.681812696750598,-4.761904761904773,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:32,-4.761904761904773,0,-4.761904761904773,0,-4.761904761904773,0,-4.761904761904773,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:33,-4.761904761904773,0,-4.761904761904773,0,-4.761904761904773,0,-4.761904761904773,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:34,-4.761904761904773,0,-4.761904761904773,0,-4.761904761904773,0,-4.761904761904773,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:35,-5.158730158730165,-10.573810736055709,-4.761904761904773,-10.33479383558521,-5.158730158730165,-9.754030904562397,-4.983917208586817,0.7874015748031497,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:36,-5.158730158730165,-14.08036863337569,-4.761904761904773,-8.437280227391746,-5.158730158730165,-8.433744572559437,-5.157329598506067,0.0035419126328217238,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:37,-4.761904761904773,-7.762001300662646,-5.132259233821728,0,-5.158730158730165,-7.762001300662646,-5.132259233821728,0,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:38,-5.158730158730165,-12.183248648489808,-4.761904761904773,-9.77630354017152,-5.158730158730165,-9.690043195887114,-5.125934671389203,0.09009009009009009,-5.555555555555557,-4.761904761904773,-5.555555555555557
09:00:39,-4.761904761904773,-6.726646302976059,-4.760973246888739,-10.56386040520254,-5.154801194405152,-6.705321732651291,-4.7692825476406,46.396039603960396,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:40,-4.365079365079367,-9.657520004181553,-4.365079365079367,-15.1789809220438,-5.158730158730165,-9.653527982912015,-4.36824132043256,250.0,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:41,-4.761904761904773,-10.366796566671383,-4.761904761904773,0,-5.158730158730165,-10.366796566671383,-4.761904761904773,0,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:42,-4.761904761904773,-11.372318432273481,-4.761904761904773,-12.000927091695853,-5.158730158730165,-10.94487441744654,-4.899930986887512,1.875,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:43,-4.761904761904773,-7.306906942176926,-4.3668948072303095,-8.165065447233273,-4.597393513760423,-6.953477824476882,-4.4355198572066,2.3588129496402876,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:44,-4.761904761904773,-8.539105088217264,-4.761904761904773,0,-4.597393513760423,-8.539105088217264,-4.761904761904773,0,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:45,-4.761904761904773,-8.127125299087906,-4.761904761904773,0,-4.597393513760423,-8.127125299087906,-4.761904761904773,0,-5.555555555555557,-4.365079365079367,-5.555555555555557
09:00:46,-3.9682539682539613,-11.372318432273481,-3.9682539682539613,-11.568063009399575,-4.761904761904773,-10.772261674779546,-4.326364692218348,1.2162162162162162,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:47,-4.761904761904773,-10.358699356438763,-4.761904761904773,-12.876395829049754,-4.761904761904773,-10.281141122092889,-4.761904761904773,12.4,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:48,-4.365079365079367,-7.5780784625017175,-4.365079365079367,0,-4.761904761904773,-7.5780784625017175,-4.365079365079367,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:49,-4.365079365079367,-9.157957572694274,-4.365079365079367,-10.748164123200485,-4.365079365079367,-8.972404995318872,-4.365079365079367,4.904761904761905,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:50,-4.365079365079367,0,-4.365079365079367,-9.880663555495763,-4.365079365079367,-9.880663555495763,-4.365079365079367,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:51,-4.365079365079367,-10.311446471588217,-3.9682539682539613,-9.79908356850334,-4.365079365079367,-9.32965614209694,-4.21641278989982,0.5990783410138248,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:52,-4.365079365079367,0,-3.9682539682539613,0,-4.365079365079367,0,-4.21641278989982,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:53,-4.365079365079367,0,-3.9682539682539613,0,-4.365079365079367,0,-4.21641278989982,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:54,-4.365079365079367,-15.1789809220438,-4.365079365079367,0,-4.365079365079367,-15.1789809220438,-4.365079365079367,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:55,-4.365079365079367,-10.573810736055709,-4.365079365079367,0,-4.365079365079367,-10.573810736055709,-4.365079365079367,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:56,-4.761904761904773,0,-4.365079365079367,-11.59546198358769,-4.761904761904773,-11.59546198358769,-4.761904761904773,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:57,-4.761904761904773,-11.541394762317415,-4.365079365079367,-9.410659926250027,-4.761904761904773,-9.2984479356431,-4.71978363039814,0.11875,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:58,-4.365079365079367,-14.08036863337569,-4.365079365079367,0,-4.761904761904773,-14.08036863337569,-4.365079365079367,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:00:59,-4.365079365079367,0,-4.365079365079367,0,-4.761904761904773,0,-4.365079365079367,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:00,-4.761904761904773,0,-4.365079365079367,-9.865774943002013,-4.761904761904773,-9.865774943002013,-4.761904761904773,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:01,-4.761904761904773,-10.209167622467799,-4.365079365079367,-8.925152110468327,-4.761904761904773,-8.680698772567366,-4.675846242111305,0.27692307692307694,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:02,-4.365079365079367,-7.946247785866185,-4.365079365079367,-10.168345627947543,-4.761904761904773,-7.843346940116598,-4.403882369984075,9.226666666666667,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:03,-4.761904761904773,0,-4.365079365079367,-11.266957916615654,-4.761904761904773,-11.266957916615654,-4.761904761904773,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:04,-4.761904761904773,0,-4.365079365079367,-13.5695430096097,-4.761904761904773,-13.5695430096097,-4.761904761904773,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:05,-4.365079365079367,-12.000927091695853,-4.365079365079367,-8.154331891590163,-4.761904761904773,-8.133204345164287,-4.753608760577393,0.021352313167259787,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:06,-4.761904761904773,0,-4.365079365079367,-12.183248648489808,-4.761904761904773,-12.183248648489808,-4.761904761904773,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:07,-4.761904761904773,0,-4.365079365079367,0,-4.761904761904773,0,-4.761904761904773,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:08,-5.158730158730165,0,-4.365079365079367,-7.73297942371968,-5.0693112426912705,-7.73297942371968,-5.0693112426912705,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
09:01:09,-5.158730158730165,0,-4.365079365079367,-8.998964268391227,-4.773406947319984,-8.998964268391227,-4.773406947319984,0,-5.555555555555557,-3.9682539682539613,-5.555555555555557
