,Price(last excuted),Buy executed,Buy Wt Price,Sell executed,Sell Wt Price,Total executed,Total Wt Price,Strength,Open,High,Low
09:00:23,-1.8759018759018744,-9.801964529992643,-1.7137750787039892,-10.222711692911748,-1.8759018759018744,-9.297223731998388,-1.7780320851081797,1.523099133782483,-1.8759018759018744,-1.5873015873015959,-1.8759018759018744
09:00:24,-1.8759018759018744,-10.954117585588783,-1.7085137085137063,-10.814355643213624,-1.8759018759018744,-10.188649743449211,-1.7980469143259938,0.8695652173913043,-1.8759018759018744,-1.5873015873015959,-1.8759018759018744
09:00:25,-1.8759018759018744,0,-1.7085137085137063,0,-1.8759018759018744,0,-1.7980469143259938,0,-1.8759018759018744,-1.5873015873015959,-1.8759018759018744
09:00:26,-1.5873015873015959,-10.476641941504347,-1.5873015873015959,0,-1.8759018759018744,-10.476641941504347,-1.5873015873015959,0,-1.8759018759018744,-1.5873015873015959,-1.8759018759018744
09:00:27,-1.4430014430014495,-11.04185649989679,-1.4430014430014495,-10.240187865846309,-1.8730752325267446,-9.869604221300175,-1.7398948433431087,0.4485798237022527,-1.8759018759018744,-1.4430014430014495,-1.8759018759018744
09:00:28,-1.4430014430014495,-9.855505296920674,-1.4430014430014495,0,-1.8730752325267446,-9.855505296920674,-1.4430014430014495,0,-1.8759018759018744,-1.4430014430014495,-1.8759018759018744
09:00:29,-1.8759018759018744,-9.052159324062652,-1.4430014430014495,-10.263473535246955,-1.8759018759018744,-8.791484453022182,-1.5423384988602322,3.357894736842105,-1.8759018759018744,-1.4430014430014495,-1.8759018759018744
09:00:30,-1.2987012987013031,-9.0737369247072,-1.4669707622727657,0,-1.8759018759018744,-9.0737369247072,-1.4669707622727657,0,-1.8759018759018744,-1.2987012987013031,-1.8759018759018744
09:00:31,-1.8759018759018744,0,-1.4669707622727657,-11.647264766148728,-1.4655122655122739,-11.647264766148728,-1.4655122655122739,0,-1.8759018759018744,-1.2987012987013031,-1.8759018759018744
09:00:32,-1.2987012987013031,-13.049688509198502,-1.2987012987013031,0,-1.4655122655122739,-13.049688509198502,-1.2987012987013031,0,-1.8759018759018744,-1.2987012987013031,-1.8759018759018744
09:00:33,-1.2987012987013031,-13.152342663258587,-1.2987012987013031,-9.855505296920674,-1.6310726310726409,-9.819173367673283,-1.6192136732155973,0.037,-1.8759018759018744,-1.2987012987013031,-1.8759018759018744
09:00:34,-1.2987012987013031,0,-1.2987012987013031,0,-1.6310726310726409,0,-1.6192136732155973,0,-1.8759018759018744,-1.2987012987013031,-1.8759018759018744
09:00:35,-1.1544011544011568,-8.641087234733199,-1.2986298983330187,0,-1.6310726310726409,-8.641087234733199,-1.2986298983330187,0,-1.8759018759018744,-1.1544011544011568,-1.8759018759018744
09:00:36,-1.1544011544011568,0,-1.2986298983330187,0,-1.6310726310726409,0,-1.2986298983330187,0,-1.8759018759018744,-1.1544011544011568,-1.8759018759018744
09:00:37,-1.1544011544011568,0,-1.2986298983330187,0,-1.6310726310726409,0,-1.2986298983330187,0,-1.8759018759018744,-1.1544011544011568,-1.8759018759018744
09:00:38,-1.2987012987013031,0,-1.2986298983330187,-10.592952736377198,-1.1956297670583353,-10.592952736377198,-1.1956297670583353,0,-1.8759018759018744,-1.1544011544011568,-1.8759018759018744
09:00:39,-1.2987012987013031,-12.00393971008746,-1.0101010101010104,-12.563555498022883,-1.2987012987013031,-11.551954586344403,-1.1150465695920104,1.75,-1.8759018759018744,-1.0101010101010104,-1.8759018759018744
09:00:40,-1.2987012987013031,0,-1.0101010101010104,-10.24214865078825,-1.2426947166888311,-10.24214865078825,-1.2426947166888311,0,-1.8759018759018744,-1.0101010101010104,-1.8759018759018744
09:00:41,-1.2987012987013031,0,-1.0101010101010104,0,-1.2426947166888311,0,-1.2426947166888311,0,-1.8759018759018744,-1.0101010101010104,-1.8759018759018744
09:00:42,-1.0101010101010104,-10.525587204549623,-1.0101010101010104,-13.256702678582828,-1.2987012987013031,-10.462474781239566,-1.0277524038991999,15.35,-1.8759018759018744,-1.0101010101010104,-1.8759018759018744
09:00:43,-1.0101010101010104,-10.3724607810622,-1.0101010101010104,0,-1.2987012987013031,-10.3724607810622,-1.0101010101010104,0,-1.8759018759018744,-1.0101010101010104,-1.8759018759018744
09:00:44,-1.0101010101010104,-13.949849859142773,-0.620490620490628,-9.47981234714618,-1.0101010101010104,-9.468430480590857,-1.005691657570324,0.011446886446886446,-1.8759018759018744,-0.5772005772005713,-1.8759018759018744
09:00:45,-0.4329004329004249,-16.25243495213682,-0.4329004329004249,0,-1.0101010101010104,-16.25243495213682,-0.4329004329004249,0,-1.8759018759018744,-0.4329004329004249,-1.8759018759018744
09:00:46,-0.4329004329004249,-9.340886874915986,-0.8641620715739009,-12.090431741440904,-1.0101010101010104,-9.278891932616679,-0.8729348055190798,15.63551401869159,-1.8759018759018744,-0.4329004329004249,-1.8759018759018744
09:00:47,-0.4329004329004249,-16.25243495213682,-0.4329004329004249,-13.152342663258587,-1.0101010101010104,-13.108282673464556,-0.9852216748768399,0.04504504504504504,-1.8759018759018744,-0.4329004329004249,-1.8759018759018744
09:00:48,-0.5772005772005713,-9.340886874915986,-0.31901860951471406,0,-1.0101010101010104,-9.340886874915986,-0.31901860951471406,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:49,-0.14430014430014637,-12.282143038584698,-0.5548748944975301,-15.15382266346871,-0.5772005772005713,-12.22708326140167,-0.5560709132137731,17.666666666666668,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:50,-0.865800865800864,0,-0.5548748944975301,-14.172993410456984,-0.5844155844155807,-14.172993410456984,-0.5844155844155807,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:51,-0.14430014430014637,-12.920230441961616,-0.14430014430014637,-10.52363471450533,-0.4329004329004249,-10.43651497754377,-0.4088217437442694,0.09102730819245773,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:52,-0.14430014430014637,0,-0.14430014430014637,0,-0.4329004329004249,0,-0.4088217437442694,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:53,-0.14430014430014637,0,-0.14430014430014637,0,-0.4329004329004249,0,-0.4088217437442694,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:54,-0.4329004329004249,-12.320609319412494,-0.4329004329004249,-11.724145810484686,-0.4329004329004249,-11.285403295522697,-0.4329004329004249,0.550755939524838,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:55,-0.4329004329004249,-13.125674416176425,-0.4329004329004249,0,-0.4329004329004249,-13.125674416176425,-0.4329004329004249,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:56,-0.4329004329004249,-10.211228313134024,-0.4329004329004249,-13.443032256774321,-0.865800865800864,-10.17250175704123,-0.4493447056376141,25.325301204819276,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:57,-0.4329004329004249,-13.949849859142773,-0.4329004329004249,0,-0.865800865800864,-13.949849859142773,-0.4329004329004249,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:58,-0.865800865800864,-10.064992521787397,-0.4329004329004249,-12.563555498022883,-0.7503607503607412,-9.98599370507461,-0.4570143954876187,12.165,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:00:59,-0.28860028860029274,-8.525428615799012,-0.3692984652082032,0,-0.7503607503607412,-8.525428615799012,-0.3692984652082032,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:00,-0.4329004329004249,0,-0.3692984652082032,-10.573628463550795,-0.4329004329004249,-10.573628463550795,-0.4329004329004249,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:01,-0.28860028860029274,-15.463977591772549,-0.28860028860029274,0,-0.4329004329004249,-15.463977591772549,-0.28860028860029274,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:02,-0.28860028860029274,-13.256702678582828,-0.28860028860029274,0,-0.4329004329004249,-13.256702678582828,-0.28860028860029274,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:03,-0.4329004329004249,0,-0.28860028860029274,-9.54435086828375,-0.4329004329004249,-9.54435086828375,-0.4329004329004249,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:04,-0.4329004329004249,-16.47557850345103,-0.4329004329004249,-10.260970405028838,-0.8642135642135713,-10.258972402366165,-0.8633526597598404,0.002,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:05,-0.4329004329004249,-16.25243495213682,-0.4329004329004249,0,-0.8642135642135713,-16.25243495213682,-0.4329004329004249,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:06,-1.0101010101010104,-14.172993410456984,-0.7215007215007176,-12.158090389914719,-0.9874939874939912,-12.032927246960712,-0.9562006620830203,0.13333333333333333,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:07,-0.7215007215007176,-11.96197551098843,-0.7215007215007176,0,-0.9874939874939912,-11.96197551098843,-0.7215007215007176,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:08,-1.0101010101010104,0,-0.7215007215007176,-10.796259500973203,-0.886872876625219,-10.796259500973203,-0.886872876625219,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:09,-0.7215007215007176,-10.544660456211082,-0.7215007215007176,-10.260970405028838,-1.145021645021643,-9.69964179908974,-0.9630985101607052,0.753,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:10,-1.0101010101010104,0,-0.7215007215007176,-11.263363835956405,-1.259382458292535,-11.263363835956405,-1.259382458292535,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:11,-1.2987012987013031,0,-0.7215007215007176,-10.564781859410502,-1.2987012987013031,-10.564781859410502,-1.2987012987013031,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:12,-1.2987012987013031,0,-0.7215007215007176,0,-1.2987012987013031,0,-1.2987012987013031,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:13,-1.0101010101010104,-12.178293097232238,-1.0101010101010104,0,-1.2987012987013031,-12.178293097232238,-1.0101010101010104,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:14,-1.0101010101010104,-14.72637864864177,-1.0101010101010104,-15.028659520514704,-1.2987012987013031,-14.172993410456984,-1.1327561327561284,1.3529411764705883,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:15,-1.0101010101010104,0,-1.0101010101010104,0,-1.2987012987013031,0,-1.1327561327561284,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:16,-1.2987012987013031,-13.76752830234882,-1.1544011544011568,-10.747103416204457,-1.2987012987013031,-10.699475367215202,-1.291989664082692,0.04878048780487805,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:17,-1.0101010101010104,-11.332454026308694,-1.0642398963566961,-9.412530340062856,-1.4422292889758666,-9.27571346868996,-1.3938957564120926,0.1466181506849315,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:18,-1.2987012987013031,-12.486594456886754,-1.0114371225482301,0,-1.4422292889758666,-12.486594456886754,-1.0114371225482301,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:19,-1.2987012987013031,-14.56603599856659,-1.2987012987013031,0,-1.4422292889758666,-14.56603599856659,-1.2987012987013031,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:20,-1.2987012987013031,-9.354124131982683,-1.2987012987013031,0,-1.4422292889758666,-9.354124131982683,-1.2987012987013031,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
09:01:21,-1.2987012987013031,0,-1.2987012987013031,0,-1.4422292889758666,0,-1.2987012987013031,0,-1.8759018759018744,-0.14430014430014637,-1.8759018759018744
