,SellHoga1,SellHoga2,SellHoga3,SellHoga4,SellHoga5,SellHoga6,SellHoga7,SellHoga8,SellHoga9,SellHoga10,SellOrder1,SellOrder2,SellOrder3,SellOrder4,SellOrder5,SellOrder6,SellOrder7,SellOrder8,SellOrder9,SellOrder10,BuyHoga1,BuyHoga2,BuyHoga3,BuyHoga4,BuyHoga5,BuyHoga6,BuyHoga7,BuyHoga8,BuyHoga9,BuyHoga10,BuyOrder1,BuyOrder2,BuyOrder3,BuyOrder4,BuyOrder5,BuyOrder6,BuyOrder7,BuyOrder8,BuyOrder9,BuyOrder10
09:00:13,-0.15723270440251724,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,1.2578616352201237,-9.792035328235523,-8.539237095700654,-9.989228711685339,-9.926307553095434,-11.490753746142126,-9.189248858492112,-12.196121038036846,-10.925562628951614,-10.575273058864715,-12.19885701785572,-0.3144654088050345,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-11.675507407904693,-10.381403099252884,-11.07588628535557,-10.952769903723825,-9.271139620600705,-11.183030922806898,-9.31873548356906,-11.620244729229643,-10.830531350278648,-10.313449188898351
09:00:14,-0.3144654088050345,-0.15723270440251724,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,-11.308657135924308,-9.899839926451223,-8.52641326276795,-9.989228711685339,-9.926307553095434,-11.490753746142126,-9.189248858492112,-12.196121038036846,-10.925562628951614,-10.575273058864715,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-10.77031701854305,-11.07588628535557,-10.952769903723825,-9.272166540664545,-11.183030922806898,-9.31873548356906,-11.620244729229643,-10.830531350278648,-10.313449188898351,-11.720328187786626
09:00:15,-0.15723270440251724,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,1.2578616352201237,-9.993144969138317,-8.536279347065516,-9.989228711685339,-9.926307553095434,-11.490753746142126,-9.189248858492112,-12.196121038036846,-10.925562628951614,-10.575273058864715,-12.196121038036846,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-11.243345572828284,-11.074105340984577,-10.840342220842906,-9.272166540664545,-11.088442504130983,-9.31873548356906,-11.620244729229643,-10.830531350278648,-10.313449188898351,-11.720328187786626
09:00:16,-0.3144654088050345,-0.15723270440251724,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,-15.796169278444166,-12.405022232635513,-8.526831119170716,-9.989228711685339,-9.94052445447872,-11.490753746142126,-9.189248858492112,-12.196121038036846,-10.925562628951614,-10.575273058864715,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-13.493584185450121,-11.251811231852834,-10.840342220842906,-9.272166540664545,-11.088442504130983,-9.31873548356906,-11.620244729229643,-10.830531350278648,-10.313449188898351,-11.720328187786626
09:00:17,-0.47169811320755173,-0.3144654088050345,-0.15723270440251724,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,-13.493584185450121,-12.43232768332578,-12.232286314504917,-8.543194418369149,-9.989228711685339,-9.94052445447872,-11.490753746142126,-9.189248858492112,-12.196121038036846,-10.925562628951614,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-2.04402515723271,-11.585524260525906,-10.840342220842906,-9.272166540664545,-11.088442504130983,-9.31873548356906,-11.620244729229643,-10.830531350278648,-10.313449188898351,-11.720328187786626,-10.773605413482638
09:00:18,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,1.2578616352201237,1.415094339622641,-8.565895812174793,-10.066394223513713,-9.94052445447872,-11.490753746142126,-9.189248858492112,-12.196121038036846,-10.925562628951614,-10.575273058864715,-12.196121038036846,-10.332337473418557,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-11.794305569016231,-11.45496463829054,-10.840342220842906,-9.272166540664545,-11.088442504130983,-9.31873548356906,-11.620244729229643,-10.830531350278648,-10.124565702152202,-11.720328187786626
09:00:19,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,1.2578616352201237,1.415094339622641,-9.127051971734888,-10.066394223513713,-9.94052445447872,-11.716938354032115,-9.1933100526485,-12.196121038036846,-10.925562628951614,-10.575273058864715,-12.196121038036846,-10.332337473418557,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-2.04402515723271,-11.473362003430257,-10.840342220842906,-9.272166540664545,-11.085738581798582,-9.31873548356906,-11.612593582494124,-10.830531350278648,-10.124565702152202,-11.720328187786626,-10.773605413482638
09:00:20,-0.47169811320755173,-0.15723270440251724,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,-12.385021565928843,-13.493584185450121,-9.146407828211986,-10.039478148132563,-9.94052445447872,-11.716938354032115,-9.1933100526485,-12.196121038036846,-10.925562628951614,-10.575273058864715,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-1.7295597484276755,-1.8867924528301927,-2.04402515723271,-11.188003583476277,-10.77228875759789,-9.27510642224691,-11.085738581798582,-9.31873548356906,-11.612593582494124,-10.759866237599333,-10.124565702152202,-11.720328187786626,-10.773605413482638
09:00:21,0.0,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,1.2578616352201237,1.415094339622641,-9.171572983186227,-10.039478148132563,-9.94052445447872,-11.716938354032115,-9.1933100526485,-12.196121038036846,-10.851673786852457,-10.575273058864715,-12.196121038036846,-10.332337473418557,-0.15723270440251724,-0.3144654088050345,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-10.107838908346888,-11.036562739151657,-11.439460451754575,-11.188003583476277,-10.77228875759789,-9.27510642224691,-11.085738581798582,-9.31873548356906,-11.612593582494124,-10.770973833016582
09:00:22,0.15723270440250303,0.3144654088050487,0.47169811320755173,0.628930817610069,0.786163522012572,0.9433962264151035,1.1006289308176207,1.2578616352201237,1.415094339622641,1.5723270440251724,-11.481351393463736,-9.94052445447872,-11.716938354032115,-9.1933100526485,-12.196121038036846,-10.851673786852457,-10.575273058864715,-12.196121038036846,-10.332337473418557,-12.070475851207515,-0.15723270440251724,-0.3144654088050345,-0.47169811320755173,-0.628930817610069,-0.7861635220125862,-0.9433962264150892,-1.1006289308176207,-1.2578616352201237,-1.415094339622641,-1.5723270440251582,-10.085080228605527,-10.572575458092066,-12.0537490574022,-11.188003583476277,-10.591613291710605,-9.274812044852968,-11.085738581798582,-9.31873548356906,-11.612593582494124,-10.7228722232232
