,Price(last excuted),Buy executed,Buy Wt Price,Sell executed,Sell Wt Price,Total executed,Total Wt Price,Strength,Open,High,Low
09:00:30,-2.743902439024396,-10.961567937527901,-2.743902439024396,-9.729168665179563,-2.743902439024396,-9.473292999441837,-2.743902439024396,0.29159212880143115,-3.0487804878048763,-2.743902439024396,-3.0487804878048763
09:00:31,-2.743902439024396,0,-2.743902439024396,-13.490368780873126,-2.743902439024396,-13.490368780873126,-2.743902439024396,0,-3.0487804878048763,-2.743902439024396,-3.0487804878048763
09:00:32,-2.743902439024396,0,-2.743902439024396,-11.89643505497499,-2.743902439024396,-11.89643505497499,-2.743902439024396,0,-3.0487804878048763,-2.743902439024396,-3.0487804878048763
09:00:33,-2.896341463414629,0,-2.743902439024396,-13.752733045340618,-2.896341463414629,-13.752733045340618,-2.896341463414629,0,-3.0487804878048763,-2.743902439024396,-3.0487804878048763
09:00:34,-2.896341463414629,0,-2.743902439024396,-12.317648520051295,-2.896341463414629,-12.317648520051295,-2.896341463414629,0,-3.0487804878048763,-2.743902439024396,-3.0487804878048763
09:00:35,-2.896341463414629,-11.327930319622322,-2.5914634146341484,-11.440197621493404,-2.896341463414629,-10.68934212331281,-2.73535445634829,1.118811881188119,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:36,-2.896341463414629,0,-2.5914634146341484,-10.873534588042578,-2.896341463414629,-10.873534588042578,-2.896341463414629,0,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:37,-2.896341463414629,0,-2.5914634146341484,-12.759481272330333,-2.896341463414629,-12.759481272330333,-2.896341463414629,0,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:38,-2.896341463414629,0,-2.5914634146341484,-13.490368780873126,-2.896341463414629,-13.490368780873126,-2.896341463414629,0,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:39,-2.896341463414629,0,-2.5914634146341484,-12.558810576868183,-2.896341463414629,-12.558810576868183,-2.896341463414629,0,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:40,-2.896341463414629,-9.596979854989872,-2.5914634146341484,-9.038708454440444,-2.7973586350213253,-8.586234253413428,-2.7224235804822428,0.5721973094170404,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:41,-2.896341463414629,0,-2.5914634146341484,0,-2.7973586350213253,0,-2.7224235804822428,0,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:42,-2.896341463414629,0,-2.5914634146341484,0,-2.7973586350213253,0,-2.7224235804822428,0,-3.0487804878048763,-2.5914634146341484,-3.0487804878048763
09:00:43,-2.439024390243901,-14.10940798927935,-2.439024390243901,0,-2.7973586350213253,-14.10940798927935,-2.439024390243901,0,-3.0487804878048763,-2.439024390243901,-3.0487804878048763
09:00:44,-1.8292682926829258,-9.840710039912471,-1.9722560975609724,0,-2.7973586350213253,-9.840710039912471,-1.9722560975609724,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:45,-2.5914634146341484,0,-1.9722560975609724,-14.263558669106608,-2.5914634146341484,-14.263558669106608,-2.5914634146341484,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:46,-2.896341463414629,0,-1.9722560975609724,-11.89643505497499,-2.805830792682926,-11.89643505497499,-2.805830792682926,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:47,-2.1341463414634205,-11.45014795234657,-2.1341463414634205,0,-2.805830792682926,-11.45014795234657,-2.1341463414634205,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:48,-2.1341463414634205,0,-2.1341463414634205,0,-2.805830792682926,0,-2.1341463414634205,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:49,-2.5914634146341484,0,-2.1341463414634205,-16.055318138334663,-2.5914634146341484,-16.055318138334663,-2.5914634146341484,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:50,-2.5914634146341484,0,-2.1341463414634205,0,-2.5914634146341484,0,-2.5914634146341484,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:51,-2.1341463414634205,-12.919823922405513,-2.154029692470843,0,-2.5914634146341484,-12.919823922405513,-2.154029692470843,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:52,-2.1341463414634205,0,-2.154029692470843,0,-2.5914634146341484,0,-2.154029692470843,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:53,-2.1341463414634205,0,-2.154029692470843,0,-2.5914634146341484,0,-2.154029692470843,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:54,-2.1341463414634205,0,-2.154029692470843,0,-2.5914634146341484,0,-2.154029692470843,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:55,-2.1341463414634205,0,-2.154029692470843,0,-2.5914634146341484,0,-2.154029692470843,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
09:00:56,-2.1341463414634205,0,-2.154029692470843,0,-2.5914634146341484,0,-2.154029692470843,0,-3.0487804878048763,-1.8292682926829258,-3.0487804878048763
